id;charaName;unitName;rarity;weapon;element;hp;mp;atk;def;crit;swordSkills;battleSkills;specialSkills;upgradedStats
13007;Red-eyed Xaxa;;3;Sword;Void;8979;159;2070;1723;1898;SS1: Rage Spike|SS2: Vorpal Strike|SS3: Horizontal Square;BS1: Def +3%|BS2: Crit. +6%;;
13008;Kuradeel;;3;Sword;Dark;9023;159;2091;1698;1967;SS1: Rage Spike|SS2: Vertical Arc|SS3: Savage Fulcrum;BS1: Def +3%|BS2: Atk. +6%;;
13009;Eugene;;3;Sword;Fire;8757;159;2208;1646;1928;SS1: Rage Spike|SS2: Vorpal Strike|SS3: Savage Fulcrum;BS1: Atk. +3%|BS2: HP +6%;;
14001;Klein;[Furinkazan];4;Sword;Void;11472;208;2865;2224;2658;SS1: Tsujikaze|SS2: Savage Fulcrum|SS3: Zessen;;;hp: 12165|mp: 208|atk: 3037|def: 2357|crit: 2818
14002;Kirito;[Fairy Dance];4;Sword;Dark;9048;181;2544;1709;2432;SS1: Rage Spike|SS2: Savage Fulcrum|SS3: Slash Wave;BS1: MP +3%|BS2: Def +6%|BS3: Atk. +6%;Sword Lv10|Bs Lv2|Enhance Ss 3 1 Lv1|Bs Lv2;
14004;Klein;【神炎の剣客】;4;Sword;Fire;12445;210;3368;2195;2523;SS1: Tsujikaze|SS2: Vertical Square|SS3: Hitenichimonji;BS1: MP +6%|BS2: HP +10%|BS3: Atk +12%;;
14006;Klein;[Faithful Swordsman];4;Sword;Fire;10197;213;3373;2243;2591;SS1: Sonic Leap|SS2: Vertical Arc|SS3: Kingslayer;BS1: MP Recovery (vs. Wind)|BS2: Switch Skill Damage Up (vs. Wind-elem.)|BS3: Atk +12%;Sword Lv10|Combo Time Lv1|Skill Damage Lv2|Mp Recovery Parry Lv1|Slot Skill Icon2 Job 1 Lv5;
14008;Eugeo;[Born Genius];4;Sword;Water;13905;213;3349;2359;2476;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Blue Rose Sword;BS1: Crit. Damage +10% (vs. Fire)|BS2: 30+ Combo: Attack +6%|BS3: MP & Atk. +6%;Sword Lv5|Combo Time Lv2|Combo Damage Lv2|Skill Damage Lv2|Critical With Skill Lv1|Enhance Ss 3 1 Lv1|Bs Lv1;hp: 14746|mp: 213|atk: 3549|def: 2501|crit: 2624
14015;Kirito;[Hero's Return];4;Sword;Void;9560;228;3441;1910;2870;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Augmented Kinetic Acceleration;BS1: Damage Up (vs. Non-elem.)|BS2: 30+ Combo: Dmg. +10%|BS3: MP +12%;Sword Lv5|Bs Lv1|Enhance Ss 3 1 Lv1|Combo Time Lv2|Combo Damage Lv2;hp: 10137|mp: 228|atk: 3648|def: 2025|crit: 3042
14016;Eugeo;[Surfer];4;Sword;Wind;12027;247;3337;1876;2906;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Surf the Breeze;BS1: Crit. Damage +10% (vs. Earth)|BS2: MP +12%|BS3: Atk +15%;Sword Lv5|Skill Damage Lv2|Combo Time Lv1;
14017;Eugeo;[Blue Silver Knight];4;Sword;Water;9502;208;3624;1864;2575;SS1: Sonic Leap|SS2: Vertical Arc|SS3: Blue Rose Icicle;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP +10%|BS3: Atk +12%;Sword Lv5|Skill Damage Lv2|Combo Time Lv2;
14018;Kirito;[Resurgent Sword];4;Sword;Void;11622;224;3517;2221;2697;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Riot Friction;BS1: Damage Up (vs. Non-elem.)|BS2: MP +12%|BS3: Atk +15%;Sword Lv5|Skill Damage Lv2|Bs Lv1|Combo Time Lv2;
14019;Kirito;[Black Wing];4;Sword;Void;9528;180;2661;1759;2246;SS1: Sonic Leap|SS2: Vertical Arc|SS3: Slealth Sword Dance;BS1: HP +3%|BS2: MP +6%|BS3: Atk. +10%;Sword Lv5|Bs Lv1;
14020;Kirito;[Haiku Composer];4;Sword;Dark;10313;208;3343;1999;2632;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Speed of First-Light;BS1: Crit. Damage +10% (vs. Non-elem.)|BS2: MP +10%|BS3: Atk. +10%;Sword Lv5|Skill Damage Lv2|Enhance Ss 3 1 Lv1|Combo Time Lv1|Combo Damage Lv1;hp: 11245|mp: 218|atk: 3644|def: 2180|crit: 2866
14021;Eugeo;[Ark Savior];4;Sword;Water;10586;188;2634;1972;2067;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: At the Beginning;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP +10%|BS3: Atk. +10%;Sword Lv5|Skill Damage Lv1|Enhance Ss 3 1 Lv1|Combo Time Lv2|Combo Damage Lv1;hp: 12283|mp: 218|atk: 3059|def: 2292|crit: 2398
14022;Sorey;[Pure-minded Master];4;Sword;Void;11969;216;3088;2272;2431;SS1: Vorpal Strike|SS2: Kogahazan|SS3: Bolt Tempest;BS1: Damage Up (vs. Non-elem.)|BS2: MP +10%|BS3: Atk. +10%;Sword Lv5|Skill Damage Lv1|Combo Time Lv2|Combo Damage Lv1;hp: 13053|mp: 226|atk: 3365|def: 2477|crit: 2648
15001;Eugeo;[Blue Rose Integrity Knight];5;Sword;Water;13899;232;3680;2204;3008;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Blue Rose Icicle;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv2|Emergency Hp Mp Lv2;
15002;Eugeo;[Howl At the Moon];5;Sword;Dark;12320;237;3749;2499;2866;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Wolfking's Claw;BS1: Crit. Damage +10% (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Holy Resistance Lv2;
15003;Eugeo;[Intrepid Detective];5;Sword;Water;11054;208;3090;2045;2607;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Blue Rose Bullet;BS1: HP +3%|BS2: MP & Atk. +6%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv10|Combo Time Lv1|Combo Damage Lv2;
15004;Klein;[Strong Mind];5;Sword;Void;12382;234;3804;2425;2895;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Dexterous Slash;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv2|Fatal Resist Lv1;
15005;Kirito;[Promise At That Time];5;Sword;Holy;13141;229;3694;2499;2810;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Ideal Mariage;BS1: Crit. Damage +10% (vs. Dark)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Skill Damage Lv2|Enhance Ss 3 1 Lv1|Combo Time Lv1|Dark Resistance Lv2|Sls Enhance Lv4;hp: 13509|mp: 229|atk: 3865|def: 2567|crit: 2890
15006;Kirito;[Swordsman In the Wilderness];5;Sword;Void;12446;237;3723;2192;3127;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Berserk Finish;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv1|Critical With Skill Lv1;
15007;Kirito;[Lone Wolf In the Wild];5;Sword;Earth;11518;211;3034;2090;2632;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Beater the Kid;BS1: HP +3%|BS2: MP & Atk. +6%|BS3: Atk. +10%;Sword Lv5|Combo Time Lv1|Combo Damage Lv2;
15008;Eugeo;[Hasty Reindeer];5;Sword;Holy;12825;237;3713;2462;2852;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Snow on Christmas Eve;BS1: Crit. Damage +10% (vs. Dark)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv2|Combo Damage Lv2|Emergency Hp Mp Lv2;
15010;Kirito;[Fortune Comes In At the Merry Gate];5;Sword;Wind;12699;250;3676;2511;2844;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Flash Mastiff;BS1: Crit. Damage +10% (vs. Earth)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Combo Time Lv2|Combo Damage Lv2|Emergency Hp Mp Lv2;
15011;Kirito;[Strong Faith];5;Sword;Dark;12510;242;3701;2425;3008;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Rising Rush;;;hp: 12859|mp: 242|atk: 3872|def: 2492|crit: 3095
15012;Eiji;[Ordinal Number 2nd];5;Sword;Dark;13015;245;3672;2400;3085;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Rush in a Moment;BS1: Crit. Damage +10% (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: P-Members' (Dark-elem.) Atk+10% (P-Leader);Sword Lv5|Skill Damage Lv2|Enhance Ss 3 1 Lv1|Combo Time Lv2|Combo Damage Lv2|Sls Enhance Lv4;hp: 13379|mp: 245|atk: 3841|def: 2467|crit: 3173
15014;Kirito;[Stick To Your Beliefs];5;Sword;Void;10740;248;3906;2339;2844;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Skewed Square;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Combo Time Lv2|Combo Damage Lv2|Emergency Hp Mp Lv2;
15015;Kirito;[Fellowship On the Field];5;Sword;Void;12648;243;3870;2429;2952;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Eagle Strike;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: P-Members' (Non-elem.) Atk+10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Atk Speed Up Lv1;
15016;Eugeo;[Trusted Sword];5;Sword;Water;11625;250;3698;2572;2895;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Blue Rose Icy Slash;BS1: Crit. Damage +10% (vs. Water)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Atk Speed Up Lv1;
15017;Kirito;[Black Master Swordman];5;Sword;Dark;12307;252;3665;2425;3011;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Rapid Fall Down;BS1: Crit. Damage +10% (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Combo Time Lv2|Combo Damage Lv2|Atk Speed Up Lv1;
15018;Kirito;[Hero's Blessing];5;Sword;Dark;12131;237;3834;2499;2736;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Virtualize Acceleration;BS1: Crit. Damage +10% (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Combo Time Lv2|Combo Damage Lv2|Emergency Hp Mp Lv2|Leader Skill Lv1;
15020;Eugeo;[Unleashed Werewolf];5;Sword;Water;13242;245;3877;2395;2787;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Slash of Ice Wolf;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2;
15021;Kirito;[Hero's Achievement];5;Sword;Void;12206;244;3757;2670;2931;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Spear Hand Strike;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: P-Members' (Non-elem.) Atk+10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Atk Speed Up Lv1;
16001;Eugeo;[Blue Rose In Full Glory];6;Sword;Water;13075;267;4085;2533;3030;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Icy Slash Dance;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4;
16002;Kirito;[Innocent Curiosity];6;Sword;Void;13476;268;3971;2590;3076;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Play in the Twilight;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4;
16003;Eugeo;[Innocent Mind];6;Sword;Void;13209;267;4003;2636;3090;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Rest in the Sunshine;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4;
16004;Eugeo;[Whirlwind Young Warrior];6;Sword;Wind;12822;270;4142;2584;3001;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Gekka FushaRambu;BS1: Crit. Damage +10% (vs. Earth)|BS2: MP & Atk. +15%|BS3: P-Members' (Wind-elem.) Atk+10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4;
16005;Kirito;[Aincrad-style];6;Sword;Void;12942;274;4068;2636;3006;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Vertical Stream;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4;
16006;Nobunaga;[Let's Play Memory Defrag];6;Sword;Fire;12889;240;3607;2400;2696;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Crowd of Zombies;BS1: Crit. Damage +10% (vs. Wind)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv2|Combo Damage Lv2;
16007;Kirito;[Trust In Each Other];6;Sword;Dark;13142;279;4105;2545;3120;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Gush from the Spike ;BS1: Crit. Damage +10% (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Skill Damage Lv2|Enhance Ss 3 1 Lv1|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4;
16008;Eugeo;[Unwavering Commitment];6;Sword;Water;13263;273;4162;2569;3126;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Ice Breaker;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Skill Damage Lv2|Enhance Ss 3 1 Lv1|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4;
16010;Kirito;[Ar Sword Master];6;Sword;Fire;13249;270;4273;2486;3096;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Bravery Strike;BS1: Crit. Damage +10% (vs. Wind)|BS2: MP & Atk. +15%|BS3: P-Members' (Fire-elem.) Atk+10% (P-Leader);Sword Lv5|Skill Damage Lv2|Enhance Ss 3 1 Lv1|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4;
16011;Kirito;[The Path You Choose];6;Sword;Earth;13650;269;4052;2636;3006;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Tempest Slash;BS1: Crit. Damage +10% (vs. Wind)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Critical With Skill Lv1|Sls Enhance Lv4;
16012;Eugeo;[The Oath Sword];6;Sword;Wind;14169;271;4027;2636;3090;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Blue Rose Storm;BS1: Crit. Damage +10% (vs. Earth)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Critical With Skill Lv1|Sls Enhance Lv4;
16013;Bercouli;[Comdr. of the Integrity Knights];6;Sword;Void;12849;275;4130;2659;2922;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Time-Splitting Sword;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: P-Members' (Non-elem.) Atk+10% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4|Assist Effect Lv5;
16014;Kirito;[Black Suited Gunner];6;Sword;Void;13022;268;4195;2494;2964;SS1: Vorpal Strike|SS2: Guns and Assault TypeA|SS3: Guns and Assault TypeB;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: 30+ Combo: (Non-elem. Characters) Attack +15% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4|Enhance Ss 3 1 Lv1;
16015;Kirito;[Heart of the Sword];6;Sword;Dark;13516;276;4208;2556;3090;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Radiant Sword Dance;BS1: Crit. Damage +10% (vs. Holy)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +15% (P-Leader) ;;
16016;Eugeo;[Oath of the Sword];6;Sword;Water;13196;270;4134;2579;3300;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Blue Rose Sword Dance;;;
16017;Kirito;[Strength To Accept the Past];6;Sword;Void;13155;273;4167;2571;3030;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Momentary Blade Rush;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +15% (P-Leader) ;Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4|Enhance Ss 3 1 Lv1;
16018;Eugeo;[Blooming Blue Rose Glacier];6;Sword;Water;13596;271;4437;2475;2829;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Illusory Blue Rose Blade;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +15% (P-Leader) ;Sword Lv5|Combo Time Lv3|Combo Damage Lv2|Skill Damage Lv2|Sls Enhance Lv4|Enhance Ss 3 1 Lv1|Assist Effect Lv5;
16019;Yoshitsugu;[Rocking Into Space];6;Sword;Dark;12295;260;3225;2383;2762;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Let's Universe;BS1: Crit. Damage +10% (vs. Holy)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv2|Combo Damage Lv2;
16020;Nobunaga;[Reaching Greater Heights];6;Sword;Water;12487;260;3133;2422;2873;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Beyond the Universe;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: P-Members' Attack +6% (P-Leader);Sword Lv5|Skill Damage Lv2|Combo Time Lv2|Combo Damage Lv2;
16021;Bercouli;[Future-slicing Knight];6;Sword;Void;13489;273;4399;2506;2974;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Jisen Kuhazan;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +15% (P-Leader) ;Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4|Enhance Ss 3 1 Lv1;
16024;Eugeo;[Wish For Happiness];6;Sword;Dark;13209;271;4370;2556;3105;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Hanetsuki WithFortune;BS1: Crit. Damage +10% (vs. Holy)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +15% (P-Leader) ;Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4|Enhance Ss 3 1 Lv1;
16025;Eiji;[Hero Hunting Blade];6;Sword;Water;13743;271;4338;2636;3240;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Braveln The Moment;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +15% (P-Leader) ;Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4|Enhance Ss 3 1 Lv1;
16026;Joker;[Figureless Identity];6;Sword;Void;13302;273;4310;2506;2919;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Eigaon;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +15% (P-Leader) ;Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4|Enhance Ss 3 1 Lv1;
16027;Eugeo;[Heart Full of Memories];6;Sword;Water;14277;275;4452;2623;3120;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Cedar of My Past;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: LS: Party members' Attack +4% every 10 combos (max.: +20%);Sword Lv5|Combo Time Lv3|Combo Damage Lv2|Skill Damage Lv2|Cancel Stun Lv1|Sls Enhance Lv4|Enhance Ss 3 1 Lv1|Assist Effect Lv5;
16028;Kirito;[Unyielding Spirit];6;Sword;Dark;13155;271;4391;2564;3114;SS1: Vorpal Strike|SS2: Horizontal Square|SS3: Dazzling Sword Dance;BS1: Crit. Damage +10% (vs. Holy)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +15% (P-Leader) ;Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4|Enhance Ss 3 1 Lv2;
16029;Eugeo;[Unyielding Oath];6;Sword;Water;13302;271;4367;2618;3039;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Boisterous Blue Rose;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +15% (P-Leader) ;Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4|Enhance Ss 3 1 Lv2;
16030;Bercouli;[Legendary Hero];6;Sword;Void;13756;273;4314;2566;2997;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Split Space and Time;BS1: Damage Up (vs. Non-elem.)|BS2: MP & Atk. +15%|BS3: 30+ Combo: P-Mem' Attack +15% (P-Leader) ;Sword Lv5|Skill Damage Lv2|Combo Time Lv3|Combo Damage Lv2|Sls Enhance Lv4|Enhance Ss 3 1 Lv1;
16031;Kirito;[A Gift For Christmas];6;Sword;Wind;14410;271;4326;2569;3267;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Dangerous Gift;BS1: Crit. Damage +10% (vs. Earth)|BS2: MP & Atk. +15%|BS3: LS: Wind-elem. Characters' Attack +5% every 10 combos (max.: +20%);Sword Lv5|Combo Time Lv3|Combo Damage Lv2|Skill Damage Lv2|Cancel Stun Lv1|Sls Enhance Lv4|Enhance Ss 3 1 Lv1|Assist Effect Lv10;
16032;Kirito;[Blue Silver Hero];6;Sword;Water;14517;271;4297;2579;3252;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Blue Blade Rampage;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: LS: Water-elem. Characters' Attack +5% every 10 combos (max.: +20%);Sword Lv5|Combo Time Lv3|Combo Damage Lv2|Skill Damage Lv2|Cancel Stun Lv1|Sls Enhance Lv4|Enhance Ss 3 1 Lv1|Critical With Skill Lv1|Assist Effect Lv10;
16033;Kirito;[Dual Pen Cartoonist];6;Sword;Dark;0;0;0;0;0;SS1: No Data;;;
16035;Eugeo;[Master Assistant];6;Sword;Water;0;0;0;0;0;SS1: No Data;;;
16037;Kirito;[Ferocious God of the West];6;Sword;Water;14210;275;4461;2559;3300;SS1: Vorpal Strike|SS2: Vertical Arc|SS3: Leaping Claw;BS1: Crit. Damage +10% (vs. Fire)|BS2: MP & Atk. +15%|BS3: LS: Water-elem. Characters' Attack +5% every 10 combos (max.: +20%);Sword Lv5|Combo Time Lv3|Combo Damage Lv2|Skill Damage Lv2|Cancel Slow Lv1|Sls Enhance Lv4|Enhance Ss 3 1 Lv2|Assist Effect Lv10;
